代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
002129,TCL中环,9.26,-1.07,-0.10,-0.22,1.83,1.34,3.42,6.94亿,40.40亿,374.11亿,亏损
000885,城发环境,12.97,-1.07,-0.14,0.08,0.78,0.83,2.44,6534.92万,6.42亿,83.28亿,7.23
000876,新 希 望,9.24,-1.07,-0.10,-0.11,0.59,1.01,2.36,2.47亿,45.00亿,415.77亿,204.65
600098,广州发展,6.46,-1.07,-0.07,0.00,0.70,1.03,2.14,1.61亿,34.99亿,226.02亿,10.71
300037,新宙邦,36.81,-1.07,-0.40,0.00,1.53,1.28,2.58,3.11亿,5.46亿,201.07亿,29.67
605123,派克新材,56.88,-1.08,-0.62,-0.04,1.80,1.59,5.72,1.24亿,1.21亿,68.92亿,20.93
600021,上海电力,9.17,-1.08,-0.10,-0.11,2.07,0.81,2.27,5.02亿,26.17亿,239.99亿,7.88
000800,一汽解放,8.25,-1.08,-0.09,0.00,0.30,1.13,2.64,1.15亿,46.22亿,381.35亿,83.75
600663,陆家嘴,10.06,-1.08,-0.11,0.10,0.18,1.03,1.77,5216.92万,29.33亿,295.11亿,36.02
688475,萤石网络,30.12,-1.08,-0.33,0.00,1.01,1.19,2.82,1.25亿,4.05亿,121.92亿,47.47
601330,绿色动力,6.38,-1.08,-0.07,-0.16,0.51,1.01,2.33,3271.10万,9.89亿,63.10亿,13.24
600648,外高桥,11.82,-1.09,-0.13,-0.17,0.55,1.05,2.26,6039.52万,9.35亿,110.49亿,23.02
600118,中国卫星,29.02,-1.09,-0.32,0.03,1.86,0.73,3.17,6.43亿,11.82亿,343.16亿,亏损
603589,口子窖,38.95,-1.09,-0.43,0.00,0.96,0.70,1.37,2.25亿,5.98亿,232.97亿,13.37
600475,华光环能,9.06,-1.09,-0.10,0.00,0.52,1.17,1.53,4444.30万,9.42亿,85.38亿,13.50
601699,潞安环能,14.47,-1.09,-0.16,0.00,0.46,0.61,1.64,2.00亿,29.91亿,432.86亿,11.60
601200,上海环境,8.14,-1.09,-0.09,-0.25,0.65,1.01,1.46,7127.96万,13.46亿,109.58亿,16.39
002062,宏润建设,4.50,-1.10,-0.05,0.00,1.07,0.80,4.18,4792.07万,9.90亿,44.55亿,16.73
600170,上海建工,2.70,-1.10,-0.03,-0.37,1.68,0.96,2.56,4.08亿,88.86亿,239.92亿,13.32
002349,精华制药,8.04,-1.11,-0.09,0.00,2.54,1.25,3.20,1.68亿,8.14亿,65.46亿,29.89
301508,中机认检,36.53,-1.11,-0.41,-0.03,8.17,0.53,3.41,1.76亿,5883.64万,21.49亿,64.64
601952,苏垦农发,9.77,-1.11,-0.11,-0.10,0.55,0.69,1.32,7422.14万,13.78亿,134.63亿,22.13
301286,侨源股份,35.47,-1.11,-0.40,-0.42,6.32,1.64,6.72,9039.49万,3972.50万,14.09亿,82.71
000012,南  玻Ａ,5.31,-1.12,-0.06,0.00,0.85,0.95,1.86,8895.25万,19.59亿,104.04亿,15.55
002738,中矿资源,36.15,-1.12,-0.41,-0.14,1.33,0.72,2.65,3.45亿,7.11亿,257.11亿,35.84
000767,晋控电力,2.64,-1.12,-0.03,0.38,1.17,0.94,2.25,9067.25万,29.12亿,76.88亿,亏损
002539,云图控股,7.91,-1.12,-0.09,0.00,1.13,0.89,2.12,7942.64万,8.83亿,69.86亿,10.71
601865,福莱特,20.98,-1.13,-0.24,-0.29,0.86,1.23,4.24,3.49亿,19.00亿,398.63亿,28.45
600436,片仔癀,218.00,-1.13,-2.50,-0.16,0.33,0.85,1.67,4.29亿,6.03亿,1315.23亿,36.72
688190,云路股份,85.47,-1.13,-0.98,-0.01,0.36,0.51,3.12,3711.53万,1.20亿,102.56亿,29.26
600111,北方稀土,21.80,-1.13,-0.25,-0.14,0.75,1.01,2.04,5.96亿,36.15亿,788.08亿,145.82
